name,reviews
Yolander Latham,"I like it limits you to the amount of cash you can withdraw, you are now able to withdraw more than $100 at one time and the withdrawal can’t be deposited into your personal account it has to go on insta cash and withdraw from there for a fee"
Octavia Mccaslin,This app has been a great help to my family and I. It's helped us through some close hardships.
Latoya Smith,"MoneyLion closed my account over a month ago and refuse to give me the money in it. They are holding over $8000 in a closed account. This is WRONG and ILLEGAL. I am currently pursuing legal assistance to rectify this problem.Update…MoneyLions response to this review is completely untrue. Nobody from the company is working with me to resolve this is. I received an email yesterday from a Customer Advocate, that stated the decision is FINAL and no one would be calling me on the matter. It was signed by Joe Rook, Senior Customer Advocate."
PrettyPrett Chapple,I appreciate this company.  So far so good. Help keeps.me on track
rosemary level,Money lion is pretty great. Kind of like a one stop financial shop. I love everything they have to offer
Camerrien Walker,User set up was easy we will see how everything goes and hopefully everything will be great
Desiree Harris,Helped me thru times when I needed the help!
Amanda O,"There was some kind of verification issue at account registration. I've never had any kind of verification issues on any other financial app or service. Apparently according to the customer service this is entirely automated and no way to fix it. I find it hard to believe there is no way to correct this. I can't update my address, I can't even delete my account because there is always some kind of error."
Duncan Stark,Everything is going good. The app doesn't work sometimes but oh well. Good way to pay bills and lots of helpful tools to build credit
Marlena,"Financing firms are like bearding the lion in his den! But not so with MoneyLion, they treated me with admirable respect, honor and integrity. Don't feel the pinch, these guys have a solid record."
Kendra Jones,This is a great tool to help out your credit building
Caprice,"The instant cash boost have been lifesavers, and the extra is to cash boost they get offered around the holidays and birthdays. Once again have been terrific help and I look forward to continuing working with you."
Omar Pereyra,"I'm bad at reviews but MoneyLion has been a godsend for me when I wasn't doing great financially. Whether it was as little as 15 dollars or as much as I can get now. It went a long way.  MoneyLion is an easy, fast, and reliable app to help you if your stuck in a jam money wise. Thank you MoneyLion"
shelley garley,Just what you need to get you throug the week👌🏾
Barbra Aultman,I never got the right information I still cannot ad money to my roar money account from my bank account I get a message you cannot add money to your account because of surucity reason
Al Shack,Great for quick cash options that you can pay back within a week! And the loan paid off every two weeks is a great option too. Thanks Money 🦁! 💰
Bohanon Reacts,"Polite, professional, & friendly"
Jayson  Hunsaker,"Great, fast service!"
Raul Marrero,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Ra,Low on cash and needed gas to get to work. MoneyLion came through
JAMES BOND,This app is amazing real people and they don’t charge too much in fees like the other apps money lion is the best
Stacia Robinson,easy online bank good customer service would recommend if you need something simple and easy to use!
Nona,"This app has been a lifesaver! After a summer of not working, my first paycheck was gone as soon as it hit my account. This app helped me and my kids buy groceries ! Thank God for this app."
Ricky Leverton,I get to borrow money when I need it (as long as I pay it back) this app is great I would definitely recommend
Carol Morgan,Easy to use and it fast. Easy to repay
dan,Very quick and easy service. Would highly recommend.
Abraham Dorantes,This app has helped me out in times of need.
Tyler Williams,Always comes in handy
Ruth,"Been using Moneylion for couple of years now. Experience has been good , no issues so far."
Herrera,This app is awesome it's a good site to get a loan from
LC,I love the fact that they offer advances when you are in need of some extra money for unforeseen expenses. Thank you MoneyLion for always being here when I need you.
Bruce conley-reifer,Love money lion it’s convenient payday always 2 days early.  And insta cash has saved me
Jesi Sheppard,Great app I really enjoy using and highly recommend to others!!
Justin Garand,This app is legit handy and doesn't have stalls on getting your money alot of great features
boom boom,Absolutely love MoneyLion❣️
Joshua pipkin,"This has really helped me if I am low on funds. I am a single mom of 3 and stressing about money is always on my mind, but if I ever need a quick cash advance, Money Lion is always there"
Bjo,"Moneylion has so much to offer, from budgeting to loans, I've been using this app for years and recommend it to everyone. Amazing instacash with zero interest. Amazing app!!!"
Jauquaylon Davis,Disappointed with the roundup has not been fixed. I had got it two or three times and it has canceled everything. I would like that to be fixed
cedric genwright,...........
Jason,"I have had nothing but a great experience on this app. It has really helped me catch up when I need to, very quick, no issues!!"
REGINA HOLLOMAN,I have had a great experience with MoneyLion and if I have any questions I can call customer service and receive the help that I need
Shawn S Big red,Money available when I need it and getting paid two days early is the reason I chose this app
Rita Smith,This app is always there when I need help.
Brie,"Don’t rely on this company. My Instacash went from $670 down to $395 and their response “ We apologize for failing to communicate more clearly that you were getting more than the standard amount, and we'll take this as an opportunity to improve our communications to provide a better experience   I am truly sorry for any frustration and inconvenience this may have caused you at this time. Please reach out if you need any further assistance.”Reach out for what????  No actual person can do anything because they rely on an automated system which FAILS!  Have tried many many times. They take forever to get back to you and they aren’t able to solve anything!!!!  $275 is a big difference with no explanation"
paul davis,I love this app it approved me for a loan immediately and I don't know what I would have done without it.
Curtis,Great banking app! Easy to move money and I like the boosts!
Marc White,"One of the Best Banking Services Company I have found. I was skeptical at first but with 2 years in, They are Great. I use every service they have, Credit Builder, score went up 36 points in 5 months DD arrive earlier than most. Instacash when an Emergency pops up and I have not had a single problem I contact them on messenger and they reply quickly. Buy and Sell all the Crypto currencies, invest in stocks the entire package. Do youself a favor check them out.."
jennifer lasley,"I love MoneyLion, when those unexpected expenses come up, MoneyLion is there to help..Moneylion has helped me out of some not so nice surprises, I give them 5 stars!!!"
Andrew Chichetto,Money Lion has always been my go to shop whenever I need financial solution. Their rates are reasonable.
Abbey Christian,My experience with MoneyLion has been awesome thus far. I would recommend the service to anyone.
Augusto Pereirra,"Trustworthy and reliable, highly recommended 👌"
Jon Watson,Moneylion is always a reliable option. I use it for banking and the other features are a massive plus!
customer,"I am glad to have chosen Money Lion, it’s one stop shop for all your financial needs. It’s uncomplicated with generous cash advances. They are upfront, not gimmicky and their customer service is legendary."
Kendra L.,Just so helpful with any needs or concerns I have thanks.
Daniel Davenport,When I need a few bucks to get me thru their always there for me convenient quick and dependable
Brandon Anthony,"I can’t get a bank account anywhere & MoneyLion has helped solve that problem, savings, checking, & investing all on a mobile app! Love it."
Keisha Moore Marshall,Grateful for this company when I need it most
Matt Lipps,MoneyLion comes in a clutch every time I’m running a little short. It’s easy and fast to use.
Ariel,Money Lion always comes through when I need it the most now to get my daughter enrolled
Markus Clary,"Love the financial help Mony lion provides, I recommend Money lion to anyone that needs help with getting your finances in order, and cannot forget about your credit score unbelievable how fast you can increase it with Money lion."
Michael,Quick and easy credit builder....great perks
Carol Yates,Giving them a 1 star is too good.  They didn't do anything about 1100 dollars being stolen from my account.  My account was hacked thru the virtual card that I never used and my phone number changed on the account also.  Then to top it off don't have access to those card numbers but tell u to replace it without getting the full card number.  So with that being said I don't recommend them as they r not a safe company or even a bank. Nobody can do anything but blow smoke up ur butt that they know how u feel when they really don't.
James Bruin,"You need to pay a monthly subscription of $20 to get access to their advances, credit loans and other services. It’s a bit more expensive than other advance/credit building apps available.I give money lion a 3* because of their customer support. Requested an advance that never arrived to my bank account. Customer representative looked into the request and couldn’t find any transaction on their end, but couldn’t come to a resolution to refund the missing advance. I ended up paying for the advance since I had auto pay setup. After multiple emails and phone calls I gave up and moved on."
Cynthia Buster,Always on top of things.
verda crawley,I loved the fact the customer service representative took the time to explain the process and alsi worked with me to get resolution.
Yvonne Bartz,I currently have no issues with this app they are a lifesaver especially when it's critical no run around straight to the point and the money is there instantly
jacob,Money lion is amazing I like all the benefits you have with this account and all the extra benefits I will have to insta cash once I connect my direct deposit to my money line account they are very helpful fast and courteous to resolve your problems and issues thank you moneyline
moni perez,This app has helped tremendously. Kept from overdraft on my bank account and even funded a couple of dates for my husband and I.
JennD,The most amazing company ever. Where have they been all my life.
Belynda Sharadin,I was short on my rent. Was able to get an advance right away.
Chastity Clark,I was promised a boost to $300 if I signed up for credit builder which I never got. Then was reduced to $50 Insta cash.  When I’m done with credit builder I will never do business again. Very misleading
katie johnson,"Very user friendly and helpful, thank you"
Matthew Taylor,Love it super easy and so much in this app it’s freaking amazing and just love this app
Steven Rice,This app Money Lion been really helpful!I get paid once a month and on the hard day they always ready to lend me something to get by until payday. THANKS MONEYLION
Dennis Keel,The service is decent but the actual customer service is horrid. Omg.
Nate Shephard,I'm happy about the app it great app n hope to continue to be with yall
Nayavuvou Bolalevu,Been good so far. Have used the app for about 6 months without issue. Would definitely recommend.
Nicky,Good but won't increase your limit unless you open a money account with them.
Matt Oshiro,"If you are starving like a lion in Africa , this app will help you feed your hungry for whatever you are craving with an advance through their instacash service's. The Money lion is there for you to make it to your next payday. The cash advances start off small but quickly build up to $300 in just a few payment's."
Rebecca Edwards,Great experience helped in many ways emergency finds quick and easy and continues to help build credit in a positive stress free way.
